title,gnis_name,state,locatio
Hoffman Duffy Dam,John Hoffman Reservoir,ID, 
Winchester Dam,Ashuelot River,NH, 
Winnicut River Dam,,NH, 
Curtis Pond Dam,,MA, 
Marvel Slab Dam,Cahaba River,AL, 
Somerset Dam,Apple River,WI,Somerset, Wisconsin
Binky Lee Preserve Dam,,PA, 
Schweitzer Dam,Cedar Creek,WI, 
Brantley Dam,Dan River,VA, 
Black Earth Dam,Black Earth Creek,WI,Mazomanie, Wisconsin
Kuba Dam,,,Kopmanholmen, Sweden
Dutch Flat Dam,West Fork Little Bear Creek,ID, 
Bear Creek Dam #3,Bear Creek,CA, 
Cedar Ck Dam #1,Cedar Creek,PA, 
Watts Lake Dam,,, 
Off Billington Street Dam,Town Brook,MA, 
Duck Pond Dam,Muddy Creek,PA, 
Carding Mill Dam,,MA, 
Potagannissing Dam,,MI, 
Pear Lake Dam,,CO, 
Upper Cook's Canyon Dam,Galloway Brook,MA, 
New Way Dam,,MA, 
Gin House Lake Dam,Adkinson Creek,TN, 
Canaan Lake Outlet Dam,Old Stream,ME, 
Bluebird Dam,,CO, 
Sodom Dam,Sodom Ditch,OR,Lebanon, Oregon
Unnamed (Glade Run) Dam,,PA, 
Intake Dam,Little Shickshinny Creek,PA, 
Jackson Street Dam,Bear Creek,OR, 
Watervliet Spillway Dam,,MI, 
Hoeft Dam,Birch Creek,OR, 
Dewey No. 1,,CO, 
Hammer Creek Dam,Hammer Creek,PA,Lititz, Pennsylvania
Spring Creek Inc. Dam,Fourmile Creek,PA, 
Kentchurch Dam,,,Kentchurch, Whales
Patex Pond Dam,,NJ, 
Service Water Dam,Mahoning Creek,PA, 
Bartlett Pond Dam,,MA, 
Memory Estates Dam #2,,AK, 
Lewis Mill Dam,East Branch Brandywine Creek,PA, 
International Paper Co. Dam No. 2,,MA, 
Nelsonville Dam,Tomorrow River,WI,Nelsonville, Wisconsin
Grand River Dam,,WI, 
White Clay Creek 1,White Clay Creek,PA,Chester County, Pennsylvania
Ward Dam,Smithtown Creek,PA, 
Kehly Run Dam No. 2,Kehly Run,PA, 
Unnamed Dam #2 (Lithia Park Dam 2),Ashland Creek,OR, 
Sheraton Mill Dam,Cuyahoga River,OH, 
Hawkesville Dam,,Ontario,Hawkesville, Ontario, Canada
Eaton-Dikeman Dam,Mountain Creek,PA,Cumberland County, Pennsylvania
Savan Dam,Little Mahoning Creek,PA, 
Gray Reservoir Dam,Black Creek,NY, 
Meyer Dam,Mullet River,WI, 
Cijiawan #1 Dam,,,Shei-Pa National Park, Taiwan
Monsanto Dam #5A,,TN, 
South Sand Lake Dam,,TX, 
Childsdale Dam,Rogue River,MI, 
No Name Dam at State Road 11-58,Long Branch of Island Creek,SC, 
Billington Street Dam,Town Brook,MA, 
YWCA Dam,Brewster Creek,IL, 
Lake Crawford Dam,Bozle Creek,NE, 
Powerdale Dam,Hood River,OR, 
Pole Branch Dam,Pole Branch,SC, 
Toronto Band Father's Lake Dam,Town Fork,OH, 
Sultan Mill Pond Dam,,WA, 
Dam #1,Des Plaines River,IL, 
Finesville Dam,Musconetcong River,NJ, 
Fort Edward Dam,Hudson River,NY, 
Charming Forge Dam,Tulpehocken Creek,PA, 
Englewood Recreation Dam,Stillwater River,OH, 
Sandbeach Lake Dam,,CO, 
Creek Bend Dam #2,,IL, 
Zemko Dam,East Branch Eightmile River,CT,Salem, Connecticut
Paragon Dam,,RI, 
Robert Thomason Pond Dam,Stoddard Creek,SC, 
Unnamed Dam,Royal River,ME, 
Upper IPC Dam,Newfound River,NH, 
Cherry Hospital Dam,Little River,NC,Goldsboro, North Carolina
Atlas Dam,Hokendauqua Creek,PA, 
Peabody #1A Dam,,IL, 
James Ford's Dam,Pequea Creek,PA, 
Kaoshan Stream Dam 4,,,Shei-Pa National Park, Taiwan
Island Woolen Co. Dam,Baraboo River,WI,Baraboo, Wisconsin
Mill Dam,East Branch Sebasticook River,ME, 
Bullfrog Valley Sediment Pond #2 Dam,,PA, 
HJFD10,,CA, 
Karpel Dam,,NY, 
Shiffer's Mill Dam,Wiconisco Creek,PA, 
Franklin Dam,Cedar Creek,WI, 
Cove Dam,Bear River,ID, 
American Legion Pool Dam,Canasawacta Creek,NY, 
Red Shale Dam,Red Shale Brook,PA, 
Elm Street Dam,Battle Creek,MI, 
Minnie Reeves Dam,Indian Creek,CA, 
Cities Service Company Dam,,TN, 
Unnefors Dam,,,Southern Sweden
Upper Nemahbin Roller Mill Dam,Bark River,WI, 
Woodside Dam 1,Twelvemile Creek,SC,Pickens County, South Carolina
Upper Poplar Run Reservoir Dam,Poplar Creek,PA, 
Dimondale Dam (Wilson Dam),Grand River,MI, 
Waterworks Dam,Baraboo River,WI,Baraboo, Wisconsin
St. John's Dam,Sandusky River,OH,Seneca County, Ohio
Lloydell Reservoir Dam,South Fork Little Conemaugh River,PA, 
Camp Meeker Dam,Dutch Bill Creek,CA, 
Unnamed Dam (Camp Miakonda Dam),Ottawa River,OH, 
Mill Dam,Sedgeunkedunk Stream,ME,Brewer, Maine
Silver Spring Dam,Trindle Spring Run,PA, 
Aquatic Center Pond Dam,Lane Drain,MI, 
Beaver Lake Dam,,NH, 
Baldwin Creek Dam 2,Baldwin Creek,OH, 
Reedsburg Dam,Baraboo River,WI,Reedsburg, Wisconsin
Oak Street Dam,Baraboo River,WI,Baraboo, Wisconsin
Lower Pamperin Park Dam,Duck Creek,WI, 
Otter Tail Power Dam (AKA Crookston Dam #2),Red Lake River,MN, 
Rhone Poulenc Dam #20,,TN, 
Mystic Lake Dam,,MT,Fishtail, Montana
Gokreung Dam,,,Bukhansan National Park, Korea
Berwinsdale Dam,North Witmer Run,PA, 
Bruton Dam,Taneum Creek,WA, 
Sunol Dam,Alameda Creek,CA, 
East Pittsford Dam,,, 
Rutan Dam,Anguilla Brook,CT, 
Rose Hill Intake Dam,Kettle Creek,PA, 
HJFD7,,CA, 
Shultz Grist Mill Dam,Big Beaver Creek,PA,Lancaster County, Pennsylvania
Fletchers Mill Dam,Thornton River,VA, 
Hammer Diversion Dam,South Fork Cottonwood Creek,CA, 
Silver Creek Dam,Silver Creek,OH, 
Sturgeon River Dam,Sturgeon River,MI, 
Vincent Dam,Schuylkill River,PA, 
Deep Hollow Creek Dam,,PA, 
Forney Ridge Dam,Forney Creek,NC, 
McCormick-Saeltzer Dam,,CA,Redding, California
Pittinger Dam,,OH, 
Freeport Dam,Coldwater River,MI, 
New Fane Dam,East Branch Milwaukee River,WI, 
Kehly Run Dam No. 6,Kehly Run,PA, 
Pulcifer Dam,Oconto River,WI, 
Goldsborough Dam,Goldsborough Creek,WA, 
Lindernam Dam,Teton River,, 
Bartlett Rod Shop Co. Dam,,MA, 
Rounick Pond Dam,,PA, 
Unnamed Dam #1 (Lithia Park Dam 1),Ashland Creek,OR, 
Sawmill Pond Dam,,MA, 
Lost Man,Lost Man Creek,CA,Redwood National Park, California
Valley Creek 1,Valley Creek,PA,Valley Forge National Historical Park, Pennsylvania
Raymond Brook Pond Dam,Raymond Brook,CT, 
Boulder Creek "lower dam",Boulder Creek,WI,Boudler Creek, Wisconsin
Lemonweir Dam,Lemonweir River,WI,Lemonweir, Wisconsin
Rockland Dam,North River,VA, 
Wrubel Swimming Pool Dam,Cresskill Brook,NJ, 
Low Dam Removal,,OR, 
Commodore Dam,,PA, 
Brush Dam,,UT, 
Lorimer Park Dam,Pennypack Creek,PA, 
Three Bears Lake-West Dam,,MT, 
Wanamie Dam,,PA, 
Newport No. 11 Dam,Clyde River,VT, 
Lochner Dam,Smithtown Creek,PA, 
Plymouth Dam,Schuylkill River,PA, 
Appleton Mill Dam,Pomme de Terre River,MN,Appleton, Minnesota
Kaoshan Stream Dam 1,,,Shei-Pa National Park, Taiwan
Haley Dam,,MI, 
Simkins Dam,Patapsco River,MD,Ellicott City, Maryland
White Hall Dam,Little Falls,MD, 
Manitowoc Rapids Dam,Manitowoc River,WI, 
Lake Florence Dam (Stewartville Dam),,MN, 
West Winterport Dam,Marsh Stream,ME, 
Fisher Dam,Pequea Creek,PA, 
Sterling Lake Dam,Duffield Run,NJ, 
Lower Currier Creek Fish Passage and Habitat Restoration,Reecer Creek,WA, 
Clifford Branch Dam,,MD, 
Randall Dam,Coldwater River,MI,Union City, Michigan
Boulder Creek "upper dam",Boulder Creek,WI,Boudler Creek, Wisconsin
Dillsboro Dam,Tuckasegee River,NC,Jackson County, North Carolina
Antelope Creek Dam (Schramm Dam),Antelope Creek,ND, 
Unnamed Remnant Dam,Sunday River,ME, 
Hilsboro Lake Park Dam,,TX, 
Fife Creek Check Dam,Fife Creek,CA, 
Sooy Lake Dam,South Branch Burrs Mill Brook,NJ, 
Broome Corporate Park Pond Dam #1,,NY, 
Champlin Pond Dam #1,Clark Brook,NH, 
Fossil Creek Dam,Fossil Creek,AZ,Strawberry, Arizona
Colt Dam,Knife River,, 
Seber Dam,Musconetcong River,NJ, 
Smith Dam,,PA, 
Milan Wildlife Area Dam,Huron River,OH, 
Woods Creek Dam,Woods Creek,WI, 
Idylwilde Dam,,CO, 
Amish Dam #2,Muddy Creek,PA, 
Greenwood Dam,Black River,WI, 
Behrend Capped Waterfall Dam,Fourmile Creek,PA, 
L'Anse Dam,Falls River,MI,Baraga Co, Michigan
Lower Shannock Falls Dam,Pawcatuck River,RI, 
Kenosha Country Club Dam,Pike River,WI, 
Conewango Dam,Conewango Creek,PA, 
Manners Run Dam,,PA, 
Lion Creek Diversion Dam,,CA, 
Box Elder Creek Dam,,UT, 
Jones Lake Dam,Ogg Creek,OH, 
Garthridge Dam,Muddy Creek,PA,southeastern Pennsylvania
Bearfoot Lake Dam,,TX, 
Furnace Creek Dam,Furnace Creek,PA, 
SH Dam,Tongue River,MT, 
Father John's Lane Dam,,NJ, 
Alkire Lake Dam,,MO, 
Fibron Trout Pond Dam,Anguilm Creek,MI, 
Moline Middle City Lake Dam,Wildcat Creek,KS, 
Wonewoc Dam,Baraboo River,WI,Wonewoc, Wisconsin
Barnitz Mill Dam,Yellow Breeches Creek,PA, 
Saucon Park Dam,Saucon Creek,PA, 
Darrington Water Works Dam,,WA, 
